step,ar_loss,diff_loss,conf_accuracy,learning_rate
38400,3.4665,4.417,0.8406,6.71e-05
38500,3.4613,4.8779,0.8406,6.65e-05
38600,3.4288,4.6244,0.8406,6.59e-05
38700,3.4022,3.7991,0.8406,6.53e-05
38800,3.5045,4.5076,0.8406,6.47e-05
38900,3.5305,4.1006,0.8406,6.41e-05
39000,3.3286,4.8039,0.8406,6.35e-05
39100,3.469,4.6374,0.8268,6.29e-05
39200,3.5052,5.1204,0.8268,6.24e-05
39300,3.5294,3.9305,0.8268,6.18e-05
39400,3.4572,3.6973,0.8268,6.12e-05
39500,3.4669,5.0053,0.8268,6.06e-05
39600,3.3971,3.6547,0.8268,6.01e-05
39700,3.3677,3.9843,0.8268,5.95e-05
39800,3.5312,4.0343,0.8268,5.9e-05
39900,3.3469,5.5395,0.8268,5.84e-05
40000,3.433,5.3663,0.8268,5.79e-05
40100,3.325,3.7697,0.0,5.74e-05
40200,3.2225,3.4095,0.0,5.68e-05
40300,3.2602,4.0956,0.0,5.63e-05
40400,3.3124,5.0563,0.0,5.58e-05
40500,3.4422,4.5204,0.0,5.53e-05
40600,3.2882,3.8642,0.0,5.48e-05
40700,3.2158,3.1227,0.0,5.43e-05
40800,3.3323,4.4593,0.0,5.37e-05
40900,3.5501,4.3535,0.0,5.32e-05
41000,3.2592,3.0085,0.0,5.28e-05
41100,3.2869,4.515,0.8395,5.23e-05
41200,3.2271,5.1723,0.8395,5.18e-05
41300,3.1967,5.0441,0.8395,5.13e-05
41400,3.3688,3.6584,0.8395,5.08e-05
41500,3.163,4.6102,0.8395,5.04e-05
41600,3.3001,3.5983,0.8395,4.99e-05
41700,3.2755,4.3363,0.8395,4.94e-05
41800,3.4844,4.8103,0.8395,4.9e-05
41900,3.2623,3.6487,0.8395,4.85e-05
42000,3.2643,5.7853,0.8395,4.81e-05
42100,3.2142,4.5767,0.8541,4.77e-05
42200,3.3328,4.203,0.8541,4.72e-05
42300,3.3519,4.3291,0.8541,4.68e-05
42400,3.2026,3.6877,0.8541,4.64e-05
42500,3.4056,3.8137,0.8541,4.59e-05
42600,3.5019,4.6674,0.8541,4.55e-05
42700,3.3311,4.0791,0.8541,4.51e-05
42800,3.2729,4.7072,0.8541,4.47e-05
42900,3.2989,3.2008,0.8541,4.43e-05
43000,3.2392,4.0743,0.8541,4.39e-05
43100,3.2715,3.6972,0.843,4.35e-05
43200,3.5297,4.6705,0.843,4.32e-05
43300,3.3562,5.6632,0.843,4.28e-05
43400,3.3222,4.4494,0.843,4.24e-05
43500,3.3169,3.8969,0.843,4.2e-05
43600,3.4046,3.2078,0.843,4.17e-05
43700,3.2767,3.5251,0.843,4.13e-05
43800,3.3497,3.1005,0.843,4.1e-05
43900,3.3304,4.628,0.843,4.06e-05
44000,3.3789,3.8634,0.843,4.03e-05
44100,3.4764,3.6295,0.8563,3.99e-05
44200,3.1543,3.796,0.8563,3.96e-05
44300,3.3836,4.3705,0.8563,3.93e-05
44400,3.3345,5.1334,0.8563,3.9e-05
44500,3.446,4.9203,0.8563,3.87e-05
44600,3.3288,4.4932,0.8563,3.83e-05
44700,3.4028,4.8335,0.8563,3.8e-05
44800,3.234,3.7262,0.8563,3.77e-05
44900,3.3715,4.5962,0.8563,3.75e-05
45000,3.3087,5.2018,0.8563,3.72e-05
45100,3.4275,4.5193,0.845,3.69e-05
45200,3.3824,3.9523,0.845,3.66e-05
45300,3.4118,4.8267,0.845,3.63e-05
45400,3.2754,3.3418,0.845,3.61e-05
45500,3.3846,4.7052,0.845,3.58e-05
45600,3.3747,4.3316,0.845,3.56e-05
45700,3.3706,5.1962,0.845,3.53e-05
45800,3.1812,3.2581,0.845,3.51e-05
45900,3.403,4.5217,0.845,3.48e-05
46000,3.3162,4.1263,0.845,3.46e-05
46100,3.3289,3.7506,0.8413,3.44e-05
46200,3.3269,4.5776,0.8413,3.42e-05
46300,3.387,3.4155,0.8413,3.39e-05
46400,3.3601,3.836,0.8413,3.37e-05
46500,3.4548,4.3842,0.8413,3.35e-05
46600,3.3039,3.7935,0.8413,3.33e-05
46700,3.3267,4.1595,0.8413,3.31e-05
46800,3.0845,4.6809,0.8413,3.3e-05
46900,3.2266,3.2405,0.8413,3.28e-05
47000,3.3086,4.7263,0.8413,3.26e-05
47100,3.3781,4.8249,0.8517,3.24e-05
47200,3.406,3.7557,0.8517,3.23e-05
47300,3.3299,4.5472,0.8517,3.21e-05
47400,3.307,4.2574,0.8517,3.2e-05
47500,3.1479,3.661,0.8517,3.18e-05
47600,3.3548,4.3656,0.8517,3.17e-05
47700,3.2977,3.3045,0.8517,3.15e-05
47800,3.3453,3.7305,0.8517,3.14e-05
47900,3.171,4.6169,0.8517,3.13e-05
48000,3.4098,3.8878,0.8517,3.12e-05
48100,3.3878,3.8378,0.8557,3.1e-05
48200,3.443,4.5086,0.8557,3.09e-05
48300,3.2079,4.9995,0.8557,3.08e-05
48400,3.3325,4.5388,0.8557,3.07e-05
48500,3.1313,3.776,0.8557,3.07e-05
48600,3.3052,3.6089,0.8557,3.06e-05
48700,3.3312,4.1915,0.8557,3.05e-05
48800,3.3434,3.9934,0.8557,3.04e-05
48900,3.322,4.3159,0.8557,3.04e-05
49000,3.4164,4.9721,0.8557,3.03e-05
49100,3.5275,3.4615,0.8549,3.02e-05
49200,3.3168,3.6602,0.8549,3.02e-05
49300,3.3443,3.6474,0.8549,3.01e-05
49400,3.2996,4.8079,0.8549,3.01e-05
49500,3.5116,5.0286,0.8549,3.01e-05
49600,3.4,4.3159,0.8549,3e-05
49700,3.3923,4.5838,0.8549,3e-05
49800,3.3789,4.2465,0.8549,3e-05
49900,3.3531,3.8085,0.8549,3e-05
50000,3.3188,3.967,0.8549,3e-05
